DayOfWeek,CallDate,Calls Inbound,Calls Outbound,Calls Inbound Handled,Calls Outbound Handled,Calls Self-Served,Calls Presented,Calls Abandoned,Handle Time - Inbound Average,Handle Time - Outbound Average,Avg.Wait Time,Avg. Wait Time - Abandoned,Avg. Speed To Answer,Avg. Speed To Answer With Transfer
Wednesday,8/27/2014,4964,4791,3342,3613,1275,3648,306,22.49138839,4.68125104,2.53140625,3.31421569,2.4597307,2.59404847
Thursday,8/28/2014,6134,9105,4314,7016,1583,4499,185,22.16215114,4.87513683,1.48555901,2.98935135,1.42107093,1.5181108
Friday,8/29/2014,6652,5589,4471,4565,1580,5019,548,22.63169537,5.88666594,2.81539151,5.03779197,2.54299709,2.73714829
Saturday,8/30/2014,428,0,0,0,2,0,0,,,,,,
Sunday,8/31/2014,130,0,0,0,4,0,0,,,,,,
Monday,9/1/2014,636,0,0,0,12,0,0,,,,,,
Tuesday,9/2/2014,10871,5097,5598,4221,2548,8236,2638,23.47054305,5.56900734,8.29516391,9.37288476,7.78729904,8.229398
Wednesday,9/3/2014,8284,7552,5174,6008,1952,6259,1084,22.48467337,5.9109221,4.66558006,6.78915129,4.22067259,4.43735794
Thursday,9/4/2014,6797,7320,4604,5500,1610,5115,511,22.39283666,4.60299636,2.88326882,4.34902153,2.72058427,2.86580799
Friday,9/5/2014,6524,8115,4320,6160,1566,4901,581,22.45452546,5.39793182,3.46625179,5.65263339,3.1722037,3.29892824
Saturday,9/6/2014,465,0,0,0,6,0,0,,,,,,
Sunday,9/7/2014,168,0,0,0,2,0,0,,,,,,
Monday,9/8/2014,9118,3705,6549,2715,2123,6910,361,22.56373492,5.47581584,1.733233,3.12648199,1.65643304,1.75281264
Tuesday,9/9/2014,7182,4073,5318,3168,1770,5356,38,21.69872508,5.27120896,0.32893764,0.75605263,0.32588567,0.40553968
Wednesday,9/10/2014,7307,6862,5556,5419,1659,5596,40,22.52927826,5.15941318,0.33659936,0.7335,0.3337419,0.42489561
Thursday,9/11/2014,8070,6912,6200,5379,1757,6235,35,21.43320323,5.18154118,0.29565517,0.40657143,0.29502903,0.37126452
Friday,9/12/2014,8043,4613,6199,3636,1646,6338,139,21.23923375,5.52293729,0.67561218,1.15733813,0.66481045,0.80348927
Saturday,9/13/2014,561,0,0,0,4,0,0,,,,,,
Sunday,9/14/2014,244,0,0,0,5,0,0,,,,,,
Monday,9/15/2014,12249,5123,8504,3900,2535,9590,1086,21.83111595,4.26042051,2.79665902,3.48267035,2.70905221,2.83436853
Tuesday,9/16/2014,9070,5550,6804,4127,1919,7096,292,20.91713257,4.52848801,1.01249014,1.72273973,0.98200911,1.06722516
Wednesday,9/17/2014,7521,4810,5810,3760,1597,5857,47,20.7629191,5.65006117,0.38784531,0.74978723,0.38491738,0.48626506
Thursday,9/18/2014,7260,5584,5565,4363,1553,5649,84,20.21658221,5.87143479,0.50247831,2.1047619,0.4782929,0.53765499
Friday,9/19/2014,6935,6825,5359,5516,1455,5414,55,20.7500877,5.35486222,0.38975249,1.00254545,0.38346333,0.46775518
Saturday,9/20/2014,523,0,0,0,8,0,0,,,,,,
Sunday,9/21/2014,235,0,0,0,5,0,0,,,,,,
Monday,9/22/2014,10694,5379,7881,4430,2184,8421,540,20.85016495,6.64315124,1.91094644,3.25864815,1.81860297,1.9082959
Tuesday,9/23/2014,8489,8570,6420,6606,1833,6573,153,20.16462928,4.40102785,0.76692226,1.57836601,0.74758411,0.81763084
Wednesday,9/24/2014,8088,8641,6230,6377,1693,6335,105,19.40044462,4.48239611,0.57450829,1.21647619,0.5636886,0.60866934
Thursday,9/25/2014,8301,6989,6363,5438,1754,6470,107,19.63375295,4.70657595,0.56347759,1.1,0.55445545,0.60012573
Friday,9/26/2014,8573,6430,6113,5163,2057,6446,333,19.93716997,4.94152818,1.46355259,2.52858859,1.40553574,1.46872894
Saturday,9/27/2014,713,0,0,0,4,0,0,,,,,,
Sunday,9/28/2014,278,0,0,0,3,0,0,,,,,,
Monday,9/29/2014,13618,4526,9203,3518,3382,10126,918,19.87257525,5.86081296,2.44296662,3.15501089,2.36518201,2.51538629
Tuesday,9/30/2014,10355,5130,7655,3830,2546,7723,68,19.72038276,5.62293995,0.40647676,0.7475,0.40344742,0.46650033
Wednesday,10/1/2014,11498,2498,8977,1967,2129,9266,289,34.34751365,6.33208948,1.42015864,1.86930796,1.40569901,1.71350451
Thursday,10/2/2014,10670,3007,8413,2391,1955,8633,220,34.35355878,6.54359264,1.15500753,1.77227273,1.13886604,1.50459646
Friday,10/3/2014,11032,3364,8609,2657,2034,8903,294,33.43027065,6.3327437,1.41893407,1.69996599,1.40933674,1.71986177
Saturday,10/4/2014,2135,438,1119,282,114,1137,18,61.99142985,12.41531915,0.64563764,1.02833333,0.63948168,0.88118856
Sunday,10/5/2014,289,0,0,0,4,0,0,,,,,,
Monday,10/6/2014,20030,3585,12851,2842,3465,16445,3594,30.38666252,6.58765658,5.74499362,5.80553422,5.72806241,6.28049257
Tuesday,10/7/2014,15188,2840,11292,2182,2508,12582,1290,33.62226709,6.93073786,3.28449611,3.19121705,3.29515232,3.80661707
Wednesday,10/8/2014,13031,3437,10490,2684,2153,10785,296,34.88753933,6.98845753,1.31335466,1.38864865,1.31122986,1.84612356
Thursday,10/9/2014,13703,3170,10764,2441,2390,11212,448,33.51606559,6.89992216,1.5325223,1.59725446,1.52982813,1.90626719
Friday,10/10/2014,15638,3187,10827,2406,3153,12385,1558,32.09039531,6.2125478,3.73373274,3.87381258,3.71357532,4.14942459
Saturday,10/11/2014,2368,948,1471,763,147,1506,35,66.71078178,5.81323722,1.24575697,1.33314286,1.24367777,2.0007206
Sunday,10/12/2014,335,0,0,0,3,0,0,,,,,,
Monday,10/13/2014,21156,4189,13499,3267,4846,16206,2707,30.46757834,6.37258035,4.88357645,5.17158478,4.82582117,5.28924587
Tuesday,10/14/2014,22530,3572,14091,2681,4828,17580,3489,31.43596196,6.82848564,5.70692605,5.89928346,5.65929742,6.53068625
Wednesday,10/15/2014,26190,2811,15729,1960,5761,20146,4417,35.55885625,8.0942602,6.65972302,5.85501698,6.88569966,11.34608176
Thursday,10/16/2014,21322,2825,14939,1990,4541,16618,1679,35.20541669,8.36719095,3.31746239,3.49523526,3.29748243,5.99743959
Friday,10/17/2014,18628,2310,13508,1737,3505,15005,1497,36.82387252,8.76052965,3.36896101,3.55661991,3.34816405,5.52241487
Saturday,10/18/2014,3840,566,2769,378,424,3008,239,62.12422535,9.58949735,1.86956449,3.258159,1.74971109,2.77438425
Sunday,10/19/2014,465,0,0,0,5,0,0,,,,,,
Monday,10/20/2014,26506,2407,16985,1782,5348,21016,4032,35.69509774,7.82030303,6.33792825,5.09173363,6.63377473,8.97442946
Tuesday,10/21/2014,21326,2334,15153,1781,4030,17171,2018,37.56674388,8.13180797,4.16860171,3.78883548,4.21917706,6.42420775
Wednesday,10/22/2014,19043,2621,14705,1939,3504,15418,713,37.33715471,7.57518824,1.93018096,2.24963534,1.9146916,3.75365794
Thursday,10/23/2014,18098,2840,14156,2210,3302,14666,509,38.23364298,7.29913575,1.64396454,1.79662083,1.63847556,3.68486296
Friday,10/24/2014,16875,3037,13191,2308,3131,13664,473,38.86064362,7.54787695,1.32965457,1.63640592,1.31865514,2.53019559
Saturday,10/25/2014,3692,676,2813,495,428,2894,81,60.08795236,7.38092929,1.00186593,1.32975309,0.99242446,6.81107003
Sunday,10/26/2014,494,0,0,0,10,0,0,,,,,,
Monday,10/27/2014,24826,3066,16927,2319,4398,20267,3340,35.29330301,7.74053471,3.97627276,3.10538922,4.14811366,5.86366929
Tuesday,10/28/2014,19367,3174,14686,2434,3318,15941,1255,37.43859049,6.95764585,3.02277461,2.708749,3.04960983,5.01957511
Wednesday,10/29/2014,18827,2865,14311,2179,3320,15388,1078,38.07116562,8.25403855,2.62406226,2.75171614,2.61444584,4.11173235
Thursday,10/30/2014,16556,3097,13449,2358,2610,13861,411,38.88363596,7.12206955,1.2256075,1.64727494,1.21272139,2.53608075
Friday,10/31/2014,15553,2782,12467,2112,2326,13119,652,39.59482153,7.155,1.90569556,2.34161043,1.88289805,3.9702254
Saturday,11/1/2014,3972,774,3026,548,400,3172,146,59.90890945,8.73377737,1.05020177,1.75424658,1.01623265,9.11568407
Sunday,11/2/2014,440,0,0,0,4,0,0,,,,,,
Monday,11/3/2014,23878,3051,16533,2281,3758,19915,3382,37.17461804,7.56774222,6.07539192,4.8646984,6.32305208,9.89620517
Tuesday,11/4/2014,17380,3477,14215,2596,2627,14619,404,37.69663806,6.43069337,1.19803612,1.63111386,1.18572775,2.40728597
Wednesday,11/5/2014,17595,3063,14363,2306,2651,14811,448,38.57952726,6.72196878,1.30109581,1.75462054,1.2869498,3.68310938
Thursday,11/6/2014,19439,3222,15332,2379,2879,16459,1128,38.12575305,7.05037411,2.88626162,2.70304078,2.89974235,5.81158307
Friday,11/7/2014,18789,3204,14242,2384,2717,15934,1692,39.29185929,7.00907299,4.01190599,3.40843381,4.08360062,6.81971703
Saturday,11/8/2014,3745,1624,2792,1091,306,2880,88,61.99891834,5.09857929,0.83147222,2.82579545,0.7686139,1.25182307
Sunday,11/9/2014,494,0,0,0,5,0,0,,,,,,
Monday,11/10/2014,24568,3097,17349,2336,3823,20566,3220,37.57840251,6.82074914,5.64766751,4.63602484,5.83546235,9.69961028
Tuesday,11/11/2014,17541,3637,14437,2698,2614,14792,355,37.39062825,6.89211268,1.05751082,1.50974648,1.04639052,2.44078133
Wednesday,11/12/2014,19589,3430,15739,2577,2887,16582,844,37.64545304,7.54762903,1.5531697,1.71697867,1.54438493,4.3145997
Thursday,11/13/2014,20219,2947,14822,2207,3071,17016,2194,38.71211712,7.20596285,4.03641866,3.27041477,4.14980502,7.67467683
Friday,11/14/2014,20600,2991,14231,2263,3078,17383,3153,39.48204989,7.02909854,6.81254674,5.4912052,7.10532186,12.12327056
Saturday,11/15/2014,3959,1657,2905,1204,374,3034,129,55.59803442,6.10602159,1.21265656,3.64395349,1.10469191,2.04353528
Sunday,11/16/2014,514,0,0,0,7,0,0,,,,,,
Monday,11/17/2014,28615,4517,18590,2427,3875,24553,5963,36.06185745,9.06380717,8.81060726,6.66908771,9.49752932,17.55660839
Tuesday,11/18/2014,24316,4105,17159,3028,3653,20479,3320,36.86210385,9.00402246,5.7051399,4.58538253,5.92179556,9.99710473
Wednesday,11/19/2014,19745,4497,15828,3334,2944,16659,831,36.60586366,8.04067786,2.08780479,2.0845006,2.08797827,4.80733826
Thursday,11/20/2014,17893,5473,14639,4015,2749,15021,382,37.26183209,7.43213699,1.11820318,1.86801047,1.0986372,2.39108751
Friday,11/21/2014,17755,5004,14428,3677,2717,14900,471,36.74653244,7.13873538,1.47382308,1.86420382,1.46107915,3.46465761
Saturday,11/22/2014,4217,1650,3419,1156,470,3489,70,49.73776835,6.99250865,0.86654342,0.87928571,0.86628254,1.3813893
Sunday,11/23/2014,464,0,0,0,9,0,0,,,,,,
Monday,11/24/2014,20989,5133,16738,3753,3326,17492,754,35.40490858,7.13441513,1.9056781,1.81167109,1.90991336,3.06399618
Tuesday,11/25/2014,16923,7135,13812,5058,2823,13986,173,34.57776426,6.05529656,0.46939292,1.04404624,0.46219519,0.81621633
Wednesday,11/26/2014,13586,6528,11342,4658,2006,11480,138,35.89837947,5.37636969,0.48940592,1.03681159,0.48274555,0.74915712
Thursday,11/27/2014,237,0,0,0,2,0,0,,,,,,
Friday,11/28/2014,12013,5627,10152,3970,1625,10279,127,38.36383373,5.84691688,0.4821325,0.91653543,0.47669819,0.83273936
Saturday,11/29/2014,4213,1425,3301,981,519,3414,113,49.36027567,6.0412844,1.32287639,3.02460177,1.26462284,1.94943653
Sunday,11/30/2014,676,0,0,0,8,0,0,,,,,,
Monday,12/1/2014,31184,3688,19186,2638,5151,25757,6570,34.94229282,8.85869219,10.33993749,7.42161644,11.33927916,17.52468467
Tuesday,12/2/2014,26894,4542,17846,3344,4367,22321,4476,34.38498431,7.79725179,8.13939919,5.94192359,8.69061533,15.64902712
Wednesday,12/3/2014,24282,5643,16705,4244,3726,20304,3599,35.54296438,6.54099906,7.42848454,5.17863018,7.91320323,12.44587369
Thursday,12/4/2014,23784,6767,16391,4848,3692,19809,3418,35.75194497,5.51307756,7.31569236,5.1214014,7.77326582,12.4005564
Friday,12/5/2014,24748,6051,16822,4253,3738,20676,3855,34.90005291,5.90060193,8.14778439,5.63318288,8.72407526,12.53964865
Saturday,12/6/2014,6716,3661,4927,2519,755,5033,106,38.23083621,4.27167527,0.71673952,1.33367925,0.70346661,1.01133753
Sunday,12/7/2014,1292,0,0,0,10,0,0,,,,,,
Monday,12/8/2014,17869,10558,13864,7461,3595,14119,253,26.53657506,4.64261225,0.73217059,1.16027668,0.72435764,0.88675034
Tuesday,12/9/2014,15224,12318,11731,8718,3236,11899,168,26.03885602,4.23609888,0.52924111,0.6947619,0.52687068,0.65300912
Wednesday,12/10/2014,12587,9917,9740,7175,2665,9820,80,27.53608214,3.83580488,0.32553666,0.3705,0.32516735,0.44802156
Thursday,12/11/2014,11957,8995,9227,6205,2543,9320,92,26.79550558,4.31737953,0.34877777,0.53771739,0.3468939,0.47026336
Friday,12/12/2014,11815,9615,9175,6060,2471,9272,97,25.7688218,4.2710363,0.36654551,0.58391753,0.36424741,0.49483161
Saturday,12/13/2014,1928,2871,1249,1968,429,1254,5,32.09923139,3.44097561,0.31410686,0.83,0.31204163,0.43722178
Sunday,12/14/2014,372,0,0,0,6,0,0,,,,,,
Monday,12/15/2014,18178,10143,13164,6787,4057,13962,798,24.05449407,3.81556358,2.0765535,3.0726817,2.01616834,2.33383774
Tuesday,12/16/2014,12864,11007,9777,7361,2897,9856,76,21.69317787,3.0169121,0.39199635,0.54144737,0.39083461,0.4857758
Wednesday,12/17/2014,11014,9338,8395,6267,2477,8452,57,20.87190232,3.10829424,0.29781117,0.28140351,0.29792257,0.3839726
Thursday,12/18/2014,11387,7652,8761,4871,2509,8804,43,20.11467755,3.35705605,0.32414471,0.28767442,0.32432371,0.40330328
Friday,12/19/2014,12762,8067,9790,5005,2782,9913,123,20.60868131,3.41387812,0.46017654,0.84146341,0.45538611,0.54003371
Saturday,12/20/2014,1420,98,0,56,13,0,0,,2.54303571,,,,
Sunday,12/21/2014,370,0,0,0,5,0,0,,,,,,
Monday,12/22/2014,20247,9607,12583,6196,5939,14174,1590,20.45823001,3.099653,4.1431915,4.73699371,4.06815212,4.4466921
Tuesday,12/23/2014,14952,5658,10128,3547,4615,10229,101,19.17048381,3.52590358,0.45356144,1.29009901,0.44521919,0.52617397
Wednesday,12/24/2014,5737,2056,3821,1357,1837,3854,33,19.09165925,4.38050847,0.30243643,0.24454545,0.3029364,0.38413504
Thursday,12/25/2014,128,0,0,0,10,0,0,,,,,,
Friday,12/26/2014,11697,6763,8409,4298,3169,8449,39,20.52576049,3.19066775,0.30297112,0.50179487,0.302049,0.40058271
Saturday,12/27/2014,1648,0,0,0,9,0,0,,,,,,
Sunday,12/28/2014,550,0,0,0,3,0,0,,,,,,
Monday,12/29/2014,34702,7886,16628,5066,9898,24635,8007,19.90372865,3.57627714,10.07042216,9.12371175,10.52629841,11.91515997
Tuesday,12/30/2014,22798,8598,13592,5622,6377,16245,2654,19.81050548,3.52335112,5.53362142,5.38913715,5.56183577,6.25093371
Thursday,1/1/2015,703,0,0,0,13,0,0,,,,,,
Friday,1/2/2015,15575,4374,10118,3048,4993,10476,358,19.24492192,4.25343504,1.5365168,2.57818436,1.49966001,1.69501384
Saturday,1/3/2015,1383,0,0,0,13,0,0,,,,,,
Sunday,1/4/2015,411,0,0,0,8,0,0,,,,,,
Monday,1/5/2015,29088,4989,14431,3584,11561,17382,2950,20.00476682,4.47337333,5.23691099,4.26978983,5.43461091,6.13989329
Tuesday,1/6/2015,20320,4252,11562,3116,8110,12095,533,19.84243297,5.25852054,1.77851095,2.63750469,1.73891195,2.05536845
Wednesday,1/7/2015,16780,3027,9898,2203,6747,9944,46,19.80199737,5.44709487,0.2966965,0.475,0.29586785,0.3778137
Thursday,1/8/2015,17131,2689,10440,1925,6538,10501,61,18.53233621,6.46329351,0.34171317,0.3757377,0.34151437,0.43035249
Friday,1/9/2015,15971,1971,9570,1474,6279,9607,37,18.98655381,6.42829715,0.31668783,0.39675676,0.31637827,0.40488088
Saturday,1/10/2015,1304,0,0,0,7,0,0,,,,,,
Sunday,1/11/2015,340,0,0,0,6,0,0,,,,,,
Monday,1/12/2015,24176,3030,13240,2237,9846,14198,958,18.83041843,5.43183728,2.5548211,2.79069937,2.53775378,2.97531193
Tuesday,1/13/2015,18689,2589,10752,1854,7573,11014,263,18.0175593,5.18632147,0.97380153,2.16353612,0.94469724,1.12375779
Wednesday,1/14/2015,15541,3335,9165,2381,6267,9210,44,18.60803273,5.32627047,0.30782604,0.49386364,0.3069329,0.39690344
Thursday,1/15/2015,13827,2533,8417,1791,5299,8457,40,19.47720803,5.60315466,0.29185882,0.25875,0.29201616,0.40164073
Friday,1/16/2015,13575,1528,8113,1163,5264,8240,127,19.73006533,9.59404127,0.53707524,2.45566929,0.50704178,0.95123382
Saturday,1/17/2015,1209,0,0,0,15,0,0,,,,,,
Sunday,1/18/2015,281,0,0,0,7,0,0,,,,,,
Monday,1/19/2015,7837,0,0,0,36,0,0,,,,,,
Tuesday,1/20/2015,24835,3098,12651,2228,10468,14255,1604,19.69294759,6.59750449,3.87954192,4.32696384,3.82281401,4.60812584
Wednesday,1/21/2015,17545,2417,10242,1734,7081,10379,137,19.69521383,7.19311995,0.67001156,1.35890511,0.66079672,0.85053798
Thursday,1/22/2015,14812,3317,9064,2469,5616,9128,64,19.62035415,7.09326043,0.38704316,1.10890625,0.38194616,0.51656002
Friday,1/23/2015,13934,3011,8599,2184,5223,8666,67,19.85807885,8.07407967,0.36661782,0.87358209,0.36266775,0.49529596
Saturday,1/24/2015,1275,0,0,0,11,0,0,,,,,,
Sunday,1/25/2015,365,0,0,0,5,0,0,,,,,,
Monday,1/26/2015,20722,3069,12121,2178,8136,12488,367,19.09803152,7.04072544,1.21902947,1.55599455,1.20882683,1.4040962
Tuesday,1/27/2015,15887,3072,9968,2141,5794,10022,54,18.93517155,6.33964035,0.33053782,0.24592593,0.33099619,0.41176565
Wednesday,1/28/2015,13417,2759,8503,1978,4808,8555,52,19.37313419,6.0956724,0.31639041,0.56807692,0.31485123,0.41693402
Thursday,1/29/2015,12162,2586,7683,1767,4376,7722,39,19.36105297,6.66516695,0.31042865,0.77846154,0.30805284,0.41506443
Friday,1/30/2015,12407,2671,7888,1884,4376,7947,59,19.92893002,7.10596072,0.33154146,0.63355932,0.32928245,0.45626268
Saturday,1/31/2015,993,0,0,0,6,0,0,,,,,,
Sunday,2/1/2015,233,0,0,0,3,0,0,,,,,,
Monday,2/2/2015,17441,3030,10619,2118,6540,10811,192,19.04568698,6.47885741,0.73621497,1.45427083,0.72323194,0.83697241
Tuesday,2/3/2015,13672,4512,8424,3389,5101,8470,46,19.2882906,4.78143405,0.30546399,0.30869565,0.30544634,0.39270893
Wednesday,2/4/2015,11601,3747,7101,2831,4424,7127,25,19.76943529,5.6805687,0.29365563,0.1,0.29433742,0.37765526
Thursday,2/5/2015,11501,2986,7299,2112,4109,7339,40,19.72943143,6.13443182,0.28729255,0.7145,0.28495136,0.37381148
Friday,2/6/2015,11677,3157,7362,2331,4216,7399,37,18.70692611,5.8890562,0.30727125,0.61351351,0.30573214,0.39320022
Saturday,2/7/2015,947,0,0,0,5,0,0,,,,,,
Sunday,2/8/2015,282,0,0,0,6,0,0,,,,,,
Monday,2/9/2015,16999,3817,10342,2720,6459,10444,102,19.2378012,5.40794118,0.46034757,1.13529412,0.45369078,0.54170083
Tuesday,2/10/2015,12738,4024,8105,2916,4536,8139,34,19.35956817,5.29249657,0.32052586,0.71352941,0.31887724,0.42082048
Wednesday,2/11/2015,10365,3948,6668,2945,3597,6704,36,19.5340027,5.04308998,0.28637232,0.46638889,0.28540042,0.37740552
Thursday,2/12/2015,10646,3590,6782,2582,3768,6821,39,19.30281038,5.9560457,0.290151,0.38717949,0.28959304,0.3960926
Friday,2/13/2015,11248,2647,7217,1928,3928,7251,33,19.0547014,6.08647303,0.31164,0.87484848,0.30906471,0.41474851
Saturday,2/14/2015,968,0,0,0,7,0,0,,,,,,
Sunday,2/15/2015,340,0,0,0,4,0,0,,,,,,
Monday,2/16/2015,6533,0,0,0,11,0,0,,,,,,
Tuesday,2/17/2015,18746,4053,10684,2846,7332,11335,651,18.70796237,4.75247365,2.0276974,3.3115361,1.94947024,2.20891239
Wednesday,2/18/2015,13579,3270,8120,2380,5339,8179,59,18.65410837,4.93394538,0.40114562,0.87050847,0.39773522,0.47971182
Thursday,2/19/2015,10905,2964,6557,2113,4242,6615,57,18.39129937,5.16663038,0.32274569,0.23491228,0.32350923,0.4265045
Friday,2/20/2015,10113,2953,6190,2056,3861,6215,25,18.6762294,4.86236868,0.28912309,0.1496,0.28968659,0.36942003
Saturday,2/21/2015,854,0,0,0,8,0,0,,,,,,
Sunday,2/22/2015,217,0,0,0,2,0,0,,,,,,
Monday,2/23/2015,16814,1775,6349,1181,7549,9189,2840,19.33538668,5.60294666,8.48135379,7.00544718,9.14154828,9.79554261
Tuesday,2/24/2015,13674,1695,7455,1238,5871,7725,270,18.04400268,5.79123586,1.26883236,2.90422222,1.20960295,1.29885312
Wednesday,2/25/2015,10778,2619,6537,1823,4105,6579,43,18.44950887,5.03763028,0.35392005,0.63186047,0.35209149,0.44116738
Thursday,2/26/2015,10113,2311,6002,1568,3981,6045,44,19.24722546,5.76995536,0.31462862,0.37818182,0.31416264,0.40255957
Friday,2/27/2015,10647,1989,5857,1469,4178,6389,533,18.97360997,5.57654867,2.60234465,4.27964353,2.44968067,2.95779372
Saturday,2/28/2015,898,0,0,0,8,0,0,,,,,,
Sunday,3/1/2015,344,0,0,0,2,0,0,,,,,,
Monday,3/2/2015,16213,3351,9127,2453,6388,9700,573,22.52111428,4.90106808,2.04057323,2.56410811,2.00873781,2.40390928
Tuesday,3/3/2015,12598,2674,7628,1975,4749,7744,116,22.12745412,5.62853165,0.54405346,0.91,0.53848846,0.66109465
Wednesday,3/4/2015,10506,3171,6560,2259,3832,6599,39,23.89492683,4.95157149,0.33079709,0.61512821,0.32910671,0.43631098
Thursday,3/5/2015,10314,1870,5183,1344,3690,6552,1369,24.30837546,6.0856994,4.26788462,4.38094229,4.23802238,4.85064056
Friday,3/6/2015,10349,2327,6988,1657,3184,7103,115,22.55801088,5.03739891,0.70052091,1.41452174,0.68877075,0.86561534
Saturday,3/7/2015,851,0,0,0,10,0,0,,,,,,
Sunday,3/8/2015,235,0,0,0,3,0,0,,,,,,
Monday,3/9/2015,15840,2960,9747,2114,5056,10681,934,21.3374033,5.46232734,2.78892988,3.4969379,2.72108546,3.40362471
Tuesday,3/10/2015,13191,2993,8026,2117,4375,8711,685,21.93043857,4.69042041,1.65028699,2.13824818,1.60864067,1.97680289
Wednesday,3/11/2015,10805,4596,7193,3359,3443,7266,73,22.8072084,4.54281334,0.37363749,0.66356164,0.37069512,0.50007924
Thursday,3/12/2015,10071,4878,6830,3668,3113,6874,43,22.81625769,4.57453381,0.36089626,0.40023256,0.36064861,0.47443924
Friday,3/13/2015,10300,4546,6834,3295,3315,6898,65,21.70068491,4.87764795,0.39510293,1.12876923,0.38812381,0.50377726
Saturday,3/14/2015,891,0,0,0,7,0,0,,,,,,
Sunday,3/15/2015,270,0,0,0,3,0,0,,,,,,
Monday,3/16/2015,12810,4653,8223,3277,4387,8315,92,21.48436945,4.16246262,0.517181,1.01663043,0.51159309,0.60722607
Tuesday,3/17/2015,8991,3458,5956,2505,2924,5981,25,23.32463902,4.44231936,0.28053336,0.1316,0.2811585,0.38687374
Wednesday,3/18/2015,8576,5001,5736,3511,2720,5772,36,23.51609658,4.15994019,0.29741164,0.35972222,0.29702057,0.40696304
Thursday,3/19/2015,8185,5022,5539,3652,2510,5593,54,25.43771981,4.14927985,0.29808511,0.16666667,0.29936631,0.41784799
Friday,3/20/2015,8646,5504,5912,4074,2605,5937,25,23.44639039,3.88995091,0.29440121,0.1184,0.29514547,0.40776894
Saturday,3/21/2015,856,0,0,0,11,0,0,,,,,,
Sunday,3/22/2015,291,0,0,0,3,0,0,,,,,,
Monday,3/23/2015,14180,7425,9226,5500,4625,9441,216,20.26957507,3.51235273,0.902254,1.39430556,0.89073279,1.05155772
Tuesday,3/24/2015,10314,5229,6901,3751,3269,6948,47,21.05985942,4.25277259,0.32910465,0.35297872,0.32894203,0.43446522
Wednesday,3/25/2015,8600,4378,5893,3001,2597,5927,34,24.50325641,3.92944685,0.31152016,0.36264706,0.31122518,0.48491091
Thursday,3/26/2015,8070,3883,5475,2739,2509,5502,26,23.70981187,4.262092,0.31046719,0.22307692,0.31088219,0.4312
Friday,3/27/2015,8214,3575,5619,2633,2486,5669,50,23.14364122,4.00724649,0.40649497,1.2148,0.39930237,0.54336715
Saturday,3/28/2015,689,0,0,0,0,0,0,,,,,,
Sunday,3/29/2015,219,0,0,0,4,0,0,,,,,,
Monday,3/30/2015,12140,3572,7663,2450,4187,7878,216,21.2529183,4.58153061,1.08967758,2.22569444,1.05765205,1.15940224
Tuesday,3/31/2015,9082,4225,6108,2893,2850,6154,46,22.29335298,4.18101279,0.30432077,0.3776087,0.30376883,0.415352
Wednesday,4/1/2015,7908,3957,5315,2912,2455,5344,29,23.48878645,3.67681319,0.31365457,0.23896552,0.31406209,0.43174412
Thursday,4/2/2015,7439,4233,5010,3028,2287,5047,37,22.67891018,3.92485469,0.32908659,0.27540541,0.32948303,0.443499
Friday,4/3/2015,6662,3182,4340,2285,2110,4422,82,22.47651613,3.78014442,0.650199,2.41768293,0.61680415,0.82029954
Saturday,4/4/2015,658,0,0,0,6,0,0,,,,,,
Sunday,4/5/2015,273,0,0,0,0,0,0,,,,,,
Monday,4/6/2015,10701,3384,6942,2385,3521,7025,83,21.13031547,4.43987841,0.52883986,1.22156627,0.52055748,0.61494382
Tuesday,4/7/2015,9240,3741,5989,2655,3067,6061,73,22.34980962,4.09035405,0.45925755,0.95287671,0.45323981,0.55723447
Wednesday,4/8/2015,8205,3319,5445,2289,2602,5487,43,22.62695445,4.05566623,0.32449426,0.78139535,0.32088538,0.42571087
Thursday,4/9/2015,7416,2040,4932,1463,2370,4967,36,23.49392618,4.43855776,0.33371854,0.34138889,0.33366254,0.45774285
Friday,4/10/2015,7450,1856,4884,1380,2363,4984,100,23.02545659,4.58354348,0.74511236,3.7315,0.68396601,0.86296478
Saturday,4/11/2015,565,0,0,0,6,0,0,,,,,,
Sunday,4/12/2015,282,0,0,0,3,0,0,,,,,,
Monday,4/13/2015,10405,4710,6781,3199,3442,6832,52,21.39644395,3.69280088,0.43537763,0.51326923,0.43478024,0.56961209
Tuesday,4/14/2015,8615,3725,5859,2563,2577,5886,27,21.77314388,4.69609052,0.33296296,0.27148148,0.33324629,0.46166411
Wednesday,4/15/2015,7408,3008,5064,2116,2187,5092,29,22.02428797,4.25224008,0.31224666,0.29655172,0.31233656,0.41797551
Thursday,4/16/2015,7361,2260,4959,1566,2214,4999,41,22.54026019,5.1014751,0.33420084,0.2797561,0.33465107,0.44864865
Friday,4/17/2015,7605,1920,5125,1366,2351,5160,35,21.32874146,5.15515373,0.38958915,0.452,0.38916293,0.50500293
Saturday,4/18/2015,664,0,0,0,6,0,0,,,,,,
Sunday,4/19/2015,239,0,0,0,2,0,0,,,,,,
Monday,4/20/2015,11009,3778,7135,2490,3636,7290,155,20.41557393,3.53090361,0.81530727,1.81548387,0.79357954,0.93537071
Tuesday,4/21/2015,8611,3167,5858,2152,2640,5890,32,20.63812905,4.32838755,0.33643294,0.4725,0.33568966,0.44562137
